2026-07-03 15:19:20 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:25 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:25 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:30 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:31 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:35 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:36 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:19:36 | INFO     | trading_bot.client | Binance Futures Testnet client initialized
2026-07-03 15:19:36 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:19:36 | INFO     | trading_bot.validators | Validating order input: symbol=BTC, side=BUY, type=MARKET, qty=0.001, price=None
2026-07-03 15:19:36 | ERROR    | trading_bot.orders | Validation error: Invalid symbol format: 'BTC'. Expected 5-20 uppercase alphanumeric characters (e.g., BTCUSDT).
2026-07-03 15:19:36 | INFO     | trading_bot.client | Binance Futures Testnet client initialized
2026-07-03 15:19:36 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:19:36 | INFO     | trading_bot.validators | Validating order input: symbol=BTCUSDT, side=BUY, type=LIMIT, qty=0.001, price=None
2026-07-03 15:19:36 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2026-07-03 15:19:36 | DEBUG    | trading_bot.validators | Side validated: BUY
2026-07-03 15:19:36 | DEBUG    | trading_bot.validators | Order type validated: LIMIT
2026-07-03 15:19:36 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2026-07-03 15:19:36 | ERROR    | trading_bot.orders | Validation error: Price is required for LIMIT orders.
2026-07-03 15:29:08 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:29:08 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:29:08 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:29:08 | INFO     | trading_bot.validators | Validating order input: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.001, price=None
2026-07-03 15:29:08 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2026-07-03 15:29:08 | DEBUG    | trading_bot.validators | Side validated: BUY
2026-07-03 15:29:08 | DEBUG    | trading_bot.validators | Order type validated: MARKET
2026-07-03 15:29:08 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2026-07-03 15:29:08 | INFO     | trading_bot.validators | All inputs validated successfully
2026-07-03 15:29:08 | INFO     | trading_bot.client | Placing MARKET order: symbol=BTCUSDT, side=BUY, quantity=0.001
2026-07-03 15:29:08 | DEBUG    | trading_bot.client | Demo market order response: {'orderId': 247526, 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'executedQty': '0.001', 'avgPrice': '49954.70', 'cumulativeQuoteQty': '49.95', 'updateTime': 1783072748979}
2026-07-03 15:29:08 | INFO     | trading_bot.orders | Order placed successfully: orderId=247526, status=FILLED
2026-07-03 15:29:17 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:29:17 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:29:17 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:29:17 | INFO     | trading_bot.validators | Validating order input: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.001, price=55000.0
2026-07-03 15:29:17 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2026-07-03 15:29:17 | DEBUG    | trading_bot.validators | Side validated: SELL
2026-07-03 15:29:17 | DEBUG    | trading_bot.validators | Order type validated: LIMIT
2026-07-03 15:29:17 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2026-07-03 15:29:17 | DEBUG    | trading_bot.validators | Price validated: 55000.0
2026-07-03 15:29:17 | INFO     | trading_bot.validators | All inputs validated successfully
2026-07-03 15:29:17 | INFO     | trading_bot.client | Placing LIMIT order: symbol=BTCUSDT, side=SELL, quantity=0.001, price=55000.0
2026-07-03 15:29:17 | DEBUG    | trading_bot.client | Demo limit order response: {'orderId': 103084, 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'status': 'NEW', 'executedQty': '0', 'avgPrice': '0', 'cumulativeQuoteQty': '0', 'updateTime': 1783072757334, 'price': '55000.0'}
2026-07-03 15:29:17 | INFO     | trading_bot.orders | Order placed successfully: orderId=103084, status=NEW
2026-07-03 15:29:18 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:29:18 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:29:18 | INFO     | trading_bot.client | Demo mode: connection test passed (simulated)
2026-07-03 15:34:36 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:34:36 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:34:36 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:34:36 | INFO     | trading_bot.validators | Validating order input: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.001, price=None
2026-07-03 15:34:36 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2026-07-03 15:34:36 | DEBUG    | trading_bot.validators | Side validated: BUY
2026-07-03 15:34:36 | DEBUG    | trading_bot.validators | Order type validated: MARKET
2026-07-03 15:34:36 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2026-07-03 15:34:36 | INFO     | trading_bot.validators | All inputs validated successfully
2026-07-03 15:34:36 | INFO     | trading_bot.client | Placing MARKET order: symbol=BTCUSDT, side=BUY, quantity=0.001
2026-07-03 15:34:36 | DEBUG    | trading_bot.client | Demo market order response: {'orderId': 234667, 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'executedQty': '0.001', 'avgPrice': '49920.72', 'cumulativeQuoteQty': '49.92', 'updateTime': 1783073076950}
2026-07-03 15:34:36 | INFO     | trading_bot.orders | Order placed successfully: orderId=234667, status=FILLED
2026-07-03 15:35:16 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:35:16 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:35:16 | INFO     | trading_bot.orders | OrderManager initialized
2026-07-03 15:35:16 | INFO     | trading_bot.validators | Validating order input: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.001, price=55000.0
2026-07-03 15:35:16 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2026-07-03 15:35:16 | DEBUG    | trading_bot.validators | Side validated: SELL
2026-07-03 15:35:16 | DEBUG    | trading_bot.validators | Order type validated: LIMIT
2026-07-03 15:35:16 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2026-07-03 15:35:16 | DEBUG    | trading_bot.validators | Price validated: 55000.0
2026-07-03 15:35:16 | INFO     | trading_bot.validators | All inputs validated successfully
2026-07-03 15:35:16 | INFO     | trading_bot.client | Placing LIMIT order: symbol=BTCUSDT, side=SELL, quantity=0.001, price=55000.0
2026-07-03 15:35:16 | DEBUG    | trading_bot.client | Demo limit order response: {'orderId': 404665, 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'status': 'NEW', 'executedQty': '0', 'avgPrice': '0', 'cumulativeQuoteQty': '0', 'updateTime': 1783073116398, 'price': '55000.0'}
2026-07-03 15:35:16 | INFO     | trading_bot.orders | Order placed successfully: orderId=404665, status=NEW
2026-07-03 15:35:58 | DEBUG    | trading_bot | Logging initialized. Log file: /Users/dsivendr006/Desktop/Trading Bot/trading_bot.log
2026-07-03 15:35:58 | INFO     | trading_bot.client | Running in DEMO mode (no real API calls)
2026-07-03 15:35:58 | INFO     | trading_bot.client | Demo mode: connection test passed (simulated)
